R,G,B,H,S,V,X,Y,Z,Rcie,Gcie,Bcie,Grey,L,A,B,Y1,U,V,i,q,pb,br,cb,y2,cr,db,dr,Fe3+(cm3),OD
171.6823,172.7418,166.7828,0.1973,0.0347,0.6775,0.388,0.4132,0.4239,0.1006,0.1234,0.1266,0.6749,70.3882,-1.4854,2.9295,0.6735,-0.0096,-0.0002,0.005,-0.0082,-0.011,-0.0002,163.4992,125.5398,127.9603,-0.0293,0.0005,0,0
166.3217,159.6654,148.551,0.105,0.1069,0.6522,0.3372,0.3535,0.3331,0.0974,0.1142,0.1134,0.6285,65.9979,0.4239,6.6575,0.629,-0.0228,0.0204,0.0296,-0.008,-0.0262,0.0166,153.7455,122.1317,131.7174,-0.0698,-0.0443,0.5,0.08
179.0446,165.9013,149.3679,0.093,0.166,0.7021,0.3774,0.3908,0.3421,0.1049,0.1187,0.1146,0.6569,68.7504,1.9533,10.2843,0.6586,-0.0359,0.0382,0.0515,-0.0093,-0.0411,0.031,160.2363,118.7901,134.9537,-0.1096,-0.0828,1,0.13
175.2393,151.5578,130.6627,0.0782,0.255,0.6872,0.3309,0.3323,0.2615,0.1024,0.1088,0.101,0.6082,64.2166,5.4874,14.2621,0.6128,-0.0494,0.0653,0.0817,-0.0059,-0.0566,0.0531,150.1968,115.3124,139.8938,-0.151,-0.1416,1.5,0.22
181.2619,149.3363,122.6162,0.076,0.3237,0.7108,0.3351,0.3292,0.2325,0.1059,0.1074,0.0955,0.6047,64.062,7.9958,18.6066,0.6111,-0.0641,0.0875,0.1083,-0.0061,-0.0735,0.0711,149.8356,111.532,143.9308,-0.196,-0.1896,2,0.31
167.4857,130.7505,99.2697,0.0769,0.4073,0.6568,0.2642,0.2538,0.1543,0.0979,0.0941,0.0784,0.5345,57.4089,9.7928,22.4353,0.5417,-0.075,0.1009,0.1255,-0.0079,-0.086,0.0821,134.6426,108.7281,146.3833,-0.2294,-0.2188,2.5,0.38
179.6013,131.5025,95.3226,0.0715,0.4694,0.7043,0.2905,0.2692,0.1463,0.1047,0.095,0.076,0.5455,58.842,14.01,26.7796,0.5559,-0.0896,0.1302,0.158,-0.0043,-0.1028,0.1058,137.7464,104.9798,151.71,-0.274,-0.2822,3,0.47
179.7671,123.8339,85.2408,0.0682,0.5259,0.705,0.2768,0.248,0.1212,0.1046,0.0899,0.0687,0.5213,56.8113,17.4149,29.766,0.534,-0.0983,0.15,0.1793,-0.0007,-0.1127,0.122,132.936,102.7587,155.3234,-0.3004,-0.3252,3.5,0.55
180.2862,121.329,79.9054,0.0688,0.5569,0.707,0.2729,0.2415,0.1088,0.105,0.0881,0.0649,0.5132,56.1635,18.5346,31.8942,0.5264,-0.1048,0.1584,0.19,-0.0016,-0.1202,0.1288,131.2841,101.0673,156.8537,-0.3206,-0.3434,4,0.60
174.3802,102.5777,57.3588,0.0644,0.6725,0.6838,0.2323,0.1911,0.0659,0.1011,0.0752,0.0484,0.4493,50.656,24.8277,37.3135,0.4662,-0.1187,0.1909,0.2248,0.0044,-0.1362,0.1552,118.107,97.4963,162.7667,-0.3631,-0.4138,4.5,0.70
164.4925,91.7134,49.3601,0.0612,0.7002,0.6451,0.1996,0.1597,0.0517,0.0952,0.0677,0.0421,0.4083,46.7044,26.1718,36.6793,0.4261,-0.1144,0.1921,0.2234,0.0087,-0.1312,0.1562,109.3078,98.6102,162.9909,-0.3498,-0.4165,5,0.75
175.8351,97.2573,51.2371,0.0616,0.7085,0.6895,0.2289,0.1818,0.0566,0.1017,0.0718,0.0439,0.4339,49.6033,28.0028,39.3276,0.453,-0.124,0.2076,0.2416,0.009,-0.1422,0.1687,115.199,96.1401,165.7997,-0.3792,-0.4499,5.5,0.84
177.054,92.3109,44.8688,0.0599,0.7475,0.6943,0.2258,0.1739,0.0483,0.1022,0.0685,0.0393,0.4192,48.6153,30.8568,41.5778,0.4402,-0.13,0.223,0.2578,0.0124,-0.1491,0.1813,112.395,94.6018,168.6092,-0.3975,-0.4834,6,0.92
170.3702,84.3824,40.6606,0.0562,0.7625,0.6681,0.2041,0.1533,0.0419,0.0981,0.0632,0.0358,0.3902,45.8956,32.1404,40.5007,0.4122,-0.1244,0.2245,0.256,0.018,-0.1426,0.1825,106.2696,96.0513,168.8901,-0.3803,-0.4867,6.5,0.98
176.2404,84.7183,37.3747,0.0567,0.7869,0.6911,0.2167,0.1598,0.0388,0.1014,0.0635,0.0337,0.3951,46.8263,34.1858,43.2594,0.4184,-0.1338,0.2393,0.2735,0.0181,-0.1534,0.1946,107.6246,93.6402,171.5796,-0.409,-0.5187,7,1.03
177.6112,85.0176,37.0489,0.0568,0.7914,0.6965,0.2197,0.1617,0.0387,0.1022,0.0638,0.0335,0.397,47.0961,34.5784,43.7806,0.4205,-0.1354,0.2421,0.2768,0.0183,-0.1553,0.1969,108.0956,93.2069,172.0949,-0.4142,-0.5248,7.5,1.11
