text,polarity,subjectivity,pred class,actual class
clear skin is more important than lighter skin  clears your skin that's enough , 0.25 , 0.6 , pos,against
i'm proud of my dark skin i don't want to be fair you should be happy with what you are , 0.54 , 0.82 , pos,against
melanin is very important dear   prevents cancer , 0.52 , 1.0 , pos,against
one word do what u like n love what you do , 0.5 , 0.6 , pos,against
flash light in front of us is clearly visible , 0.25 , 0.54 , pos,against
and also melanin is so important  it prevents cancer  and the chemicals which you used decreases melanin content and increases the probability of cancer , 0.4 , 1.0 , pos,against
don't believe them they all are giving paid reviews , 0.0 , 0.0 , neg,against
this is the kind audience base we need in india more  all the comments i see here are about being happy with our original skin color , 0.3 , 0.83 , pos,against
don't advertise these things , 0.0 , 0.0 , neg,against
harms others , 0.0 , 0.0 , neg,against
this particular brand pays youtubers to review them i seriously don't get the ethics these kinds youtubers have  no sense at all , -0.08 , 0.5 , neg,against
after 3mnths you look the same as before , 0.0 , 0.12 , neg,against
i'm a type of person who looks good only on my dark skin i never used filters for my pics  my darkness gives me happiness all matters is your  personality , 0.31 , 0.55 , pos,against
are you a doctor  long term use of it can have adverse effects even life threatening so i request you not to advertise such things? , -0.03 , 0.45 , neg
a real beauty , 0.2 , 0.3 , pos,against
they are all doing for money  they have their sales profit in the product , 0.0 , 0.0 , neg,against
can't take this much of gin in my mind , 0.2 , 0.2 , pos,against
this doesn't make you beautiful  still you look average , 0.35 , 0.7 , pos,against
what is the cost of 500 mg doses and where can i purchase it  seems promising? , 0.2 , 0.5 , pos,for
o thoughtless   mortals   ever blind to fate   to soon defected too soon to elate  beauty in vain   pretty eyes may roll , -0.22 , 0.83 , neg
but where is glowing , 0.0 , 0.0 , neg,against
i have extreme freckles all over my face and that makes me insecure about my looks and people even look me like they're disgusted that makes me very awkward about my looks so i heard that gluten also helps lighten freckles , -0.26 , 0.97 , neg,for
obsessed with glutathione tablets  drips etc. whenever i see your videos its like there's nothing beside skin whitening  are you trying to be the female version of michael jackson , -0.25 , 0.58 , neg,against
now a days she is more passionate about money money and honey  keep continue didi , 0.23 , 0.68 , pos,against
as a dermatologist i used many of glutathione oral products but none of them work even after 3 months , 0.5 , 0.5 , pos,against
does not work? , 0.0 , 0.0 , neg,against
please stop making insane videos like this  dark skin is beautiful and people like you should stop promoting this product being educated , -0.21 , 0.8 , neg,against
just have different types of juices and prevent from the sun  that's enough   if this works everyone will become color right , 0.1 , 0.55 , pos,for
you need to take eye drops , 0.0 , 0.0 , neg,against
people in the comment section loving themselves for their dark skin stop insulting us , -0.28 , 0.78 , neg,against
this girl is rat of labs , 0.0 , 0.0 , neg,against
as per your video in may 2018  you have given  the feedback on now you are saying it works , 0.0 , 0.0 , neg,for
