R,G,B,H,S,V,X,Y,Z,Rcie,Gcie,Ycie,Grey,L,A,B,Y,U,V,i,q,b,pr,y3,cb,cr,db,dr,target
138.4875,96.6465,10.5622,0.1122,0.9289,0.5431,0.1507,0.1418,0.0234,0.0839,0.0663,0.016,0.3894,44.1445,10.1122,48.9567,0.3894,-0.172,0.1348,0.2068,-0.0708,-0.1973,0.1096,22.7691,124.4924,129.9491,-0.526,-0.2923,0
142.6757,101.3861,11.8846,0.114,0.9201,0.5595,0.1625,0.1546,0.0259,0.0866,0.0695,0.0175,0.4066,45.9153,9.37,50.0807,0.4059,-0.1773,0.1348,0.2096,-0.0753,-0.2033,0.1096,25.833,122.9622,130.7153,-0.542,-0.2922,0
138.1946,107.7864,27.5468,0.1208,0.8041,0.5419,0.1628,0.1641,0.0358,0.0839,0.074,0.0285,0.4253,47.1943,4.0515,45.9432,0.4225,-0.1547,0.1048,0.1722,-0.0727,-0.1775,0.0852,25.7831,123.797,130.0182,-0.4731,-0.2272,0
137.3528,107.2346,28.0865,0.1206,0.7987,0.5386,0.1608,0.1621,0.0358,0.0834,0.0737,0.0288,0.4232,46.954,3.9963,45.4789,0.4205,-0.1527,0.1037,0.1701,-0.0716,-0.1751,0.0843,26.1928,123.6578,130.0901,-0.4669,-0.2248,0
139.7928,116.6809,51.9698,0.1227,0.6318,0.5482,0.179,0.1863,0.0614,0.0843,0.0809,0.0454,0.4585,50.0284,1.0792,38.1881,0.4557,-0.124,0.0811,0.1356,-0.0598,-0.1422,0.066,25.0812,125.1022,129.3442,-0.3791,-0.1759,0
142.4103,103.864,7.3794,0.1193,0.9545,0.5585,0.1632,0.1581,0.0247,0.087,0.0706,0.0143,0.4119,46.5403,7.6876,51.8149,0.409,-0.1885,0.1311,0.2126,-0.0867,-0.2162,0.1066,25.9956,122.5961,130.6643,-0.5764,-0.2843,0
137.2227,113.4805,75.8653,0.1022,0.4473,0.5381,0.1781,0.1798,0.0946,0.0812,0.0804,0.0611,0.4542,49.1952,3.9475,24.3187,0.456,-0.078,0.072,0.1029,-0.0262,-0.0895,0.0585,32.4169,124.7058,130.1557,-0.2385,-0.1561,0
145.8978,123.4618,84.6438,0.1056,0.4211,0.5721,0.21,0.2144,0.1177,0.0864,0.0874,0.0678,0.4919,52.9277,3.0167,24.4134,0.4931,-0.0793,0.0693,0.1013,-0.0288,-0.091,0.0564,33.6374,124.6723,130.0622,-0.2425,-0.1503,0
142.8679,126.4641,98.3698,0.1051,0.3122,0.5603,0.213,0.2203,0.1494,0.0843,0.0899,0.0771,0.5017,53.7287,1.7781,17.6059,0.5026,-0.0575,0.0506,0.0737,-0.0207,-0.0659,0.0411,32.5053,125.7851,129.3813,-0.1758,-0.1097,0
145.7571,129.7409,101.6527,0.1059,0.3033,0.5716,0.2259,0.2342,0.1609,0.086,0.0922,0.0796,0.5142,54.9344,1.5868,17.4526,0.515,-0.0573,0.0496,0.0728,-0.021,-0.0657,0.0404,30.9804,126.0461,129.2008,-0.1751,-0.1076,0
143.2759,105.4712,40.2056,0.1051,0.7197,0.5619,0.1715,0.165,0.0448,0.0857,0.0738,0.0368,0.4267,47.2295,8.3684,40.8981,0.4288,-0.1334,0.1168,0.1706,-0.0483,-0.153,0.0949,28.0278,123.6104,130.724,-0.4079,-0.2532,0
134.5435,97.5437,34.4116,0.1047,0.7443,0.5276,0.1475,0.1409,0.0361,0.0805,0.0682,0.0322,0.3955,44.04,8.5917,39.9958,0.3977,-0.1293,0.114,0.166,-0.0464,-0.1483,0.0927,25.8496,124.2438,130.3479,-0.3953,-0.2471,0
140.6521,103.1658,38.447,0.105,0.727,0.5516,0.1647,0.1583,0.0422,0.0841,0.0722,0.0354,0.4175,46.2832,8.3902,40.6519,0.4196,-0.1323,0.1158,0.1692,-0.0479,-0.1517,0.0941,25.7398,124.3982,130.2351,-0.4045,-0.251,0
